text,label
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
"I lost my debit card yesterday, please block it.",card_lost_stolen
My credit card was stolen and I need a replacement.,card_lost_stolen
"Someone took my card, urgent block request.",card_lost_stolen
I want to dispute a transaction from Uber.,transaction_dispute
A payment I did not authorize appears on my card.,transaction_dispute
I want to dispute a transaction from Netflix.,transaction_dispute
There is an unknown charge on my account.,transaction_dispute
A payment I did not authorize appears on my card.,transaction_dispute
There is an unknown charge on my account.,transaction_dispute
I want to dispute a transaction from Uber.,transaction_dispute
I want to dispute a transaction from Amazon.,transaction_dispute
I want to dispute a transaction from Uber.,transaction_dispute
A payment I did not authorize appears on my card.,transaction_dispute
A payment I did not authorize appears on my card.,transaction_dispute
There is an unknown charge on my account.,transaction_dispute
There is an unknown charge on my account.,transaction_dispute
I want to dispute a transaction from Amazon.,transaction_dispute
I want to dispute a transaction from Netflix.,transaction_dispute
A payment I did not authorize appears on my card.,transaction_dispute
There is an unknown charge on my account.,transaction_dispute
I want to dispute a transaction from Uber.,transaction_dispute
A payment I did not authorize appears on my card.,transaction_dispute
A payment I did not authorize appears on my card.,transaction_dispute
I want to dispute a transaction from Netflix.,transaction_dispute
I want to dispute a transaction from Amazon.,transaction_dispute
I want to dispute a transaction from Amazon.,transaction_dispute
I want to dispute a transaction from Netflix.,transaction_dispute
A payment I did not authorize appears on my card.,transaction_dispute
There is an unknown charge on my account.,transaction_dispute
I want to dispute a transaction from Uber.,transaction_dispute
There is an unknown charge on my account.,transaction_dispute
I want to dispute a transaction from Uber.,transaction_dispute
I want to dispute a transaction from Amazon.,transaction_dispute
There is an unknown charge on my account.,transaction_dispute
There is an unknown charge on my account.,transaction_dispute
A payment I did not authorize appears on my card.,transaction_dispute
There is an unknown charge on my account.,transaction_dispute
